-2.3, 0.8, -0.1, -2.22123, 0.75401, -0.13826, 0.954696, 0.542925, 21, 0.672222, 0.688889, 1.728, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21514, 0.752039, -0.136367, 0.954696, 0.58434, 4, 0.720238, 0.738095, 1.6416, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21514, 0.752039, -0.136367, 0.936143, 0.547234, 4, 0.775641, 0.788462, 1.5552, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21514, 0.752039, -0.136367, 0.936143, 0.547234, 4, 0.775641, 0.788462, 1.4688, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21515, 0.75204, -0.136357, 0.899038, 0.454485, 4, 0.833333, 0.833333, 1.3824, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21515, 0.75205, -0.136327, 0.843381, 0.306163, 4, 0.893939, 0.871212, 1.296, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21515, 0.75205, -0.136327, 0.843381, 0.306163, 4, 0.893939, 0.871212, 1.2096, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.21742, 0.751324, -0.136456, 0.750618, 0.141031, 4, 0.95, 0.925, 1.1232, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.20227, 0.751451, -0.136003, 0.573029, 0.108258, 20, 0.990741, 0.990741, 1.0368, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.28773, 0.713042, -0.138789, 0.513686, 0.0799144, 4, 1, 1, 0.9504, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.28773, 0.713042, -0.138789, 0.513686, 0.0799144, 4, 1, 1, 0.864, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.23836, 0.729854, -0.135501, 0.460887, 0.071653, 4, 1, 1, 0.7776, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.2393, 0.731817, -0.132291, 0.376183, 0.0509672, 4, 1, 1, 0.6912, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.2393, 0.731817, -0.132291, 0.376183, 0.0509672, 4, 1, 1, 0.6048, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.27234, 0.719649, -0.130336, 0.298182, 0.0336775, 5, 1, 1, 0.5184, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.27991, 0.715463, -0.128109, 0.22843, 0.0233369, 4, 1, 1, 0.432, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.30208, 0.702182, -0.127175, 0.16537, 0.0146196, 4, 1, 1, 0.3456, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.30208, 0.702182, -0.127175, 0.16537, 0.0146196, 4, 1, 1, 0.2592, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.28114, 0.707944, -0.124663, 0.107801, 0.00897759, 4, 1, 1, 0.1728, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.25145, 0.715568, -0.120935, 0.0475574, 0.00469607, 3, 1, 1, 0.0864, 0.244, 0.126, 0.12
-2.3, 0.8, -0.1, -2.30321, 0.782543, -0.129151, 0.648082, 0.328698, 2, 0.6, 0.54375, 0.864, 0.488, 0.126, 0.12
-2.3, 0.8, -0.1, -2.30403, 0.772822, -0.131881, 0.450139, 0.346462, 3, 0.765625, 0.640625, 0.864, 0.4636, 0.126, 0.12
-2.3, 0.8, -0.1, -2.29975, 0.817094, -0.124872, 0.514391, 0.371345, 9, 0.773438, 0.773438, 0.864, 0.4392, 0.126, 0.12
